epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.977,1.92893,1.44928,1.51807,0.22337,0.6495,0.18619,0.08385,1.81895,2.31359,1.37139,0.000662698,0.000662698,0.000662698
2,245.921,1.81218,1.16101,1.40583,0.68973,0.69062,0.71445,0.34379,1.74561,1.67163,1.31149,0.00130304,0.00130304,0.00130304
3,367.152,1.80027,1.13705,1.40526,0.76448,0.71686,0.75043,0.33852,1.83096,1.77127,1.41373,0.00191699,0.00191699,0.00191699
4,489.247,1.78361,1.12306,1.39344,0.83586,0.72939,0.80657,0.37798,1.79704,1.00859,1.3547,0.0018812,0.0018812,0.0018812
5,611.927,1.75871,1.06677,1.37422,0.83565,0.76953,0.83101,0.41411,1.69589,0.96851,1.30056,0.0018416,0.0018416,0.0018416
6,733.894,1.72565,1.03603,1.35515,0.83495,0.8139,0.84716,0.43515,1.67152,0.8451,1.27644,0.001802,0.001802,0.001802
7,856.581,1.7097,1.00876,1.34032,0.83232,0.80836,0.84868,0.43662,1.67203,0.88676,1.26691,0.0017624,0.0017624,0.0017624
8,980.172,1.707,0.98467,1.33881,0.85957,0.83329,0.87588,0.44648,1.68248,0.83045,1.29086,0.0017228,0.0017228,0.0017228
9,1103.75,1.68477,0.97814,1.32721,0.85072,0.79802,0.85252,0.4402,1.65807,0.8611,1.27605,0.0016832,0.0016832,0.0016832
10,1224.87,1.66348,0.94628,1.31153,0.8522,0.81101,0.8619,0.44021,1.67171,0.84049,1.27332,0.0016436,0.0016436,0.0016436
11,1346.1,1.65246,0.92975,1.30646,0.88022,0.82752,0.88674,0.4764,1.59974,0.7719,1.23002,0.001604,0.001604,0.001604
12,1468.61,1.64961,0.91729,1.30879,0.87421,0.83043,0.87947,0.45248,1.68235,0.77527,1.25132,0.0015644,0.0015644,0.0015644
13,1589.1,1.63805,0.89761,1.2984,0.87649,0.84057,0.8867,0.47301,1.61049,0.7568,1.22796,0.0015248,0.0015248,0.0015248
14,1707.74,1.62944,0.88769,1.29329,0.8738,0.84068,0.88812,0.44509,1.6906,0.78514,1.25373,0.0014852,0.0014852,0.0014852
15,1825.69,1.62102,0.86569,1.28424,0.87178,0.84384,0.88953,0.47478,1.61192,0.7405,1.2194,0.0014456,0.0014456,0.0014456
16,1945.98,1.60989,0.84983,1.27355,0.88732,0.85708,0.90128,0.4909,1.58198,0.71173,1.21328,0.001406,0.001406,0.001406
17,2067.22,1.59936,0.84758,1.2767,0.87747,0.8535,0.89074,0.48633,1.59531,0.71787,1.21444,0.0013664,0.0013664,0.0013664
18,2188.52,1.5959,0.83722,1.27315,0.88398,0.84617,0.8937,0.47567,1.61933,0.71574,1.22191,0.0013268,0.0013268,0.0013268
19,2308.66,1.5789,0.82927,1.26684,0.89109,0.85789,0.90268,0.49186,1.5734,0.71062,1.20293,0.0012872,0.0012872,0.0012872
20,2430.74,1.58087,0.82526,1.26236,0.8912,0.85685,0.8991,0.48803,1.5795,0.71601,1.20409,0.0012476,0.0012476,0.0012476
21,2552.54,1.57533,0.82359,1.25677,0.89176,0.85615,0.90073,0.48012,1.60081,0.74085,1.2039,0.001208,0.001208,0.001208
22,2673.43,1.55789,0.8033,1.24862,0.89205,0.86354,0.90497,0.49543,1.56869,0.7015,1.20482,0.0011684,0.0011684,0.0011684
