epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,2794.07,1.55821,0.80556,1.25067,0.89046,0.85686,0.90369,0.49005,1.57971,0.70629,1.20463,0.0011288,0.0011288,0.0011288
24,2915.18,1.54128,0.78602,1.24363,0.88583,0.8647,0.90206,0.49637,1.55093,0.68699,1.19001,0.0010892,0.0010892,0.0010892
25,3035.61,1.5462,0.78477,1.24673,0.88903,0.85615,0.9033,0.48886,1.58548,0.70849,1.20162,0.0010496,0.0010496,0.0010496
26,3156.59,1.53592,0.7797,1.24107,0.89413,0.86423,0.90535,0.49617,1.55249,0.69433,1.18575,0.00101,0.00101,0.00101
27,3275.76,1.52891,0.77154,1.23277,0.89424,0.86584,0.90803,0.51112,1.51625,0.67532,1.17251,0.0009704,0.0009704,0.0009704
28,3396.28,1.52469,0.76552,1.23052,0.88908,0.8708,0.90785,0.51019,1.51424,0.67973,1.17766,0.0009308,0.0009308,0.0009308
29,3513.43,1.52685,0.76636,1.23153,0.89267,0.87232,0.91002,0.5078,1.53856,0.66507,1.18334,0.0008912,0.0008912,0.0008912
30,3632.55,1.51486,0.76264,1.22786,0.89596,0.87093,0.90803,0.50509,1.5513,0.67423,1.18905,0.0008516,0.0008516,0.0008516
31,3750.91,1.50245,0.74937,1.22138,0.90109,0.87086,0.91027,0.49716,1.57907,0.67721,1.19473,0.000812,0.000812,0.000812
32,3869.1,1.49862,0.74215,1.21838,0.89501,0.87116,0.9131,0.5141,1.51659,0.66311,1.1755,0.0007724,0.0007724,0.0007724
33,3988.84,1.49324,0.74014,1.21609,0.89563,0.87085,0.91367,0.50967,1.53723,0.65774,1.18078,0.0007328,0.0007328,0.0007328
34,4106.34,1.47884,0.72837,1.20866,0.90019,0.87347,0.91557,0.50507,1.55283,0.65805,1.1811,0.0006932,0.0006932,0.0006932
35,4222.8,1.47598,0.72141,1.20232,0.90018,0.8756,0.91547,0.51294,1.52763,0.65688,1.17431,0.0006536,0.0006536,0.0006536
36,4340.77,1.46775,0.71517,1.20067,0.89986,0.87705,0.91669,0.5104,1.53676,0.64452,1.17795,0.000614,0.000614,0.000614
37,4457.65,1.46585,0.71364,1.19848,0.89479,0.87763,0.91291,0.50338,1.54243,0.66136,1.17981,0.0005744,0.0005744,0.0005744
38,4574.05,1.46002,0.7115,1.19294,0.89646,0.87656,0.91402,0.5092,1.55139,0.65282,1.17876,0.0005348,0.0005348,0.0005348
39,4692.34,1.44547,0.70368,1.18852,0.90113,0.8782,0.91771,0.51601,1.52566,0.6427,1.17082,0.0004952,0.0004952,0.0004952
40,4811.73,1.44666,0.70385,1.18788,0.89823,0.87682,0.91457,0.51197,1.54006,0.64304,1.17522,0.0004556,0.0004556,0.0004556
41,4927.49,1.4292,0.65418,1.20642,0.89855,0.88594,0.91955,0.51787,1.52454,0.6462,1.17265,0.000416,0.000416,0.000416
42,5041.72,1.4128,0.64388,1.19736,0.90298,0.87947,0.9179,0.5146,1.54224,0.64283,1.17423,0.0003764,0.0003764,0.0003764
43,5154.98,1.40477,0.64093,1.1927,0.90346,0.88163,0.92004,0.51885,1.51862,0.63767,1.16608,0.0003368,0.0003368,0.0003368
44,5267.35,1.39487,0.63695,1.18963,0.90911,0.88571,0.9214,0.53132,1.48661,0.6277,1.15781,0.0002972,0.0002972,0.0002972
45,5381.05,1.3848,0.62761,1.18414,0.90344,0.88363,0.92009,0.51675,1.5358,0.63965,1.17216,0.0002576,0.0002576,0.0002576
46,5495.12,1.38155,0.6281,1.18133,0.90299,0.87809,0.9188,0.51973,1.52126,0.63494,1.168,0.000218,0.000218,0.000218
47,5608.8,1.37474,0.62175,1.1787,0.90289,0.88449,0.9202,0.52084,1.51911,0.63136,1.16847,0.0001784,0.0001784,0.0001784
48,5721.24,1.36557,0.61646,1.17498,0.90638,0.88317,0.92211,0.52305,1.51724,0.62613,1.16725,0.0001388,0.0001388,0.0001388
49,5833.94,1.36344,0.61164,1.17324,0.90596,0.88192,0.92011,0.52162,1.51941,0.6281,1.16813,9.92e-05,9.92e-05,9.92e-05
50,5947.39,1.3477,0.60902,1.16319,0.9043,0.88249,0.92173,0.52771,1.50088,0.62128,1.16283,5.96e-05,5.96e-05,5.96e-05
